"","Style","Artist","Painting","URL"
"64","Social Realism","Hans Andersen Brendekilde ","Children collecting leftover crops","https://uploads3.wikiart.org/00261/images/hans-andersen-brendekilde/hans-andersen-brendekilde-aksesamlere-raagelund-1883-fkm157-brandts.png!Large.png"
"65","Social Realism","Lewis Hine ","Immigrant Family in the Baggage Room of Ellis Island","https://uploads0.wikiart.org/00216/images/lewis-hine/immigrant-family-in-the-baggage-room-of-ellis-island-1905.jpg!Large.jpg"
"66","Social Realism","Lewis Hine ","Laura Petty, a 6 Year Old Berry Picker on Jenkins Farm, Rock Creek, Maryland, 1909","https://uploads3.wikiart.org/00216/images/lewis-hine/laura-petty-a-6-year-old-berry-picker-on-jenkins-farm-rock-creek-maryland-1909.jpg!Large.jpg"
"67","Social Realism","Jose Clemente Orozco ","Winter","https://uploads2.wikiart.org/images/jose-clemente-orozco/winter-1932.jpg"
"68","Social Realism","Jose Clemente Orozco ","The Subway","https://uploads6.wikiart.org/images/jose-clemente-orozco/the-subway-1928.jpg"
"69","Social Realism","Diego Rivera ","La Era (The Threshing Floor) 1904 (oil on canvas)","https://uploads7.wikiart.org/images/diego-rivera/la-era-the-threshing-floor-1904-oil-on-canvas-1904.jpg!Large.jpg"
"70","Social Realism","Diego Rivera ","The Organization ofThe Agrarian Movement","https://uploads2.wikiart.org/images/diego-rivera/the-organization-ofthe-agrarian-movement-1926.jpg!Large.jpg"
"71","Symbolism","William Blake ","The Ancient of Days","https://uploads0.wikiart.org/images/william-blake/the-ancient-of-days-1794.jpg!Large.jpg"
"72","Symbolism","William Blake ","Oberon, Titania and Puck with Fairies Dancing","https://uploads5.wikiart.org/images/william-blake/oberon-titania-and-puck-with-fairies-dancing(1).jpg!Large.jpg"
"73","Symbolism","Victor Hugo ","Justicia","https://uploads4.wikiart.org/images/victor-hugo/justicia-1858.jpg"
"74","Symbolism","Victor Hugo ","Marine Terrace with initials","https://uploads7.wikiart.org/images/victor-hugo/marine-terrace-with-initials-1855.jpg!Large.jpg"
"75","Symbolism","Louis Janmot ","Poeme de l'ame 2: Le Passage des ames","https://uploads0.wikiart.org/images/louis-janmot/po-me-de-l-me-2-le-passage-des-mes.jpg!Large.jpg"
"76","Symbolism","Louis Janmot ","L'assomption de la Vierge","https://uploads0.wikiart.org/images/louis-janmot/l-assomption-de-la-vierge.jpg!Large.jpg"
"77","Symbolism","George Frederick Watts ","Love And Life","https://uploads1.wikiart.org/images/george-frederick-watts/love-and-life(1).jpg!Large.jpg"
"78","Symbolism","George Frederick Watts ","Paulo And Francesco","https://uploads6.wikiart.org/images/george-frederick-watts/paulo-and-francesco-1.jpg!Large.jpg"
"79","Symbolism","Pierre Puvis de Chavannes ","Mary Magdalene in the Desert","https://uploads0.wikiart.org/images/pierre-puvis-de-chavannes/mary-magdalene-in-the-desert-1.jpg!Large.jpg"
"80","Symbolism","Pierre Puvis de Chavannes ","Young Girls on the Edge of the Sea","https://uploads4.wikiart.org/images/pierre-puvis-de-chavannes/young-girls-on-the-edge-of-the-sea.jpg!Large.jpg"
"81","Symbolism","Gustave Moreau ","Hesiod and the Muses","https://uploads2.wikiart.org/images/gustave-moreau/hesiod-and-the-muses-1860.jpg!Large.jpg"
